DATE,Ap_w_NA,Amer_rel_Sunspot,Ap_3,SS_3,Ap_7,SS_7,Ap_21,SS_21,Ap_91,SS_91,Ap_343,SS_343
2000-01-19,5,121,4,131.33333333333334,6.428571428571429,142.42857142857142,12.238095238095237,96.19047619047619,13.23076923076923,113.9010989010989,12.822157434402332,101.45772594752187
2000-01-20,10,108,3.6666666666666665,125.66666666666667,5.714285714285714,140,12.095238095238095,98.47619047619048,13.252747252747254,113.97802197802197,12.819241982507288,101.61807580174927
2000-01-21,2,97,6,119.33333333333333,5.857142857142857,134.14285714285714,12.047619047619047,100.66666666666667,13.142857142857142,114.02197802197803,12.790087463556851,101.69970845481049
2000-01-22,22,101,5.666666666666667,108.66666666666667,5,126.71428571428571,10.428571428571429,102.52380952380952,12.164835164835164,113.98901098901099,12.725947521865889,101.65014577259475
2000-01-23,29,83,11.333333333333334,102,7.285714285714286,117.28571428571429,10.047619047619047,104.28571428571429,12.054945054945055,114.06593406593407,12.7667638483965,101.56559766763849
2000-01-24,13,81,17.666666666666668,93.66666666666667,10.571428571428571,109.42857142857143,10.666666666666666,105.33333333333333,12.087912087912088,113.84615384615384,12.82798833819242,101.38775510204081
2000-01-25,7,83,21.333333333333332,88.33333333333333,12,102.85714285714286,10.714285714285714,106.04761904761905,12.054945054945055,113.27472527472527,12.822157434402332,101.23615160349854
2000-01-26,8,73,16.333333333333332,82.33333333333333,12.571428571428571,96.28571428571429,10.428571428571429,105.9047619047619,12.021978021978022,112.54945054945055,12.830903790087463,101.07871720116619
2000-01-27,17,72,9.333333333333334,79,13,89.42857142857143,9.904761904761905,105.85714285714286,11.901098901098901,111.74725274725274,12.80466472303207,100.92128279883381
2000-01-28,32,63,10.666666666666666,76,14,84.28571428571429,9.80952380952381,105.66666666666667,11.857142857142858,110.98901098901099,12.620991253644315,100.8396501457726
2000-01-29,30,67,19,69.33333333333333,18.285714285714285,79.42857142857143,10.857142857142858,104.61904761904762,12.10989010989011,109.96703296703296,12.597667638483966,100.76967930029154
2000-01-30,15,60,26.333333333333332,67.33333333333333,19.428571428571427,74.57142857142857,12.047619047619047,104.23809523809524,12.373626373626374,108.8021978021978,12.676384839650146,100.72594752186589
2000-01-31,10,64,25.666666666666668,63.333333333333336,17.428571428571427,71.28571428571429,12.619047619047619,103.38095238095238,12.428571428571429,107.78021978021978,12.708454810495628,100.6734693877551
